dept;siren;raison_sociale;nature_juridique;mode_financ;nb_membres;total_pop_tot;total_pop_mun;dep_com;insee;siren_membre;nom_membre;ptot_2023;pmun_2023;;;
01;200040350;CC Bugey Sud;CC;FPU;42;35016;34106;01;01066;210100665;La Burbanche;93;92;;;
01;200040350;CC Bugey Sud;CC;FPU;42;35016;34106;01;01456;210104568;Vongnes;73;71;;;
01;200040350;CC Bugey Sud;CC;FPU;42;35016;34106;01;01162;210101622;Flaxieu;68;65;;;
01;200040350;CC Bugey Sud;CC;FPU;42;35016;34106;01;01019;210100194;Armix;30;26;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01427;210104279;Trévoux;7108;6945;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01322;210103222;Reyrieux;5192;5050;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01238;210102380;Massieux;2767;2709;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01166;210101663;Frans;2453;2417;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01157;210101572;Fareins;2392;2339;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01250;210102505;Misérieux;2249;1979;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01347;210103479;Saint-Didier-de-Formans;2136;2072;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01105;210101051;Civrieux;1919;1867;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01005;210100053;Ambérieux-en-Dombes;1806;1782;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01353;210103537;Sainte-Euphémie;1752;1723;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01446;210104469;Villeneuve;1599;1562;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01339;210103396;Saint-Bernard;1528;1484;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01021;210100210;Ars-sur-Formans;1520;1490;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01398;210103982;Savigneux;1457;1438;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01285;210102851;Parcieux;1366;1334;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01423;210104238;Toussieux;1191;1169;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01030;210100301;Beauregard;836;821;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01362;210103628;Saint-Jean-de-Thurigneux;821;809;;;
